"Country";"Frequency Range";"Allocations";"Applications"
"- Europe (ECA) -";"156.4875 - 156.5125 MHz";"Maritime Mobile (distress and calling via DSC)";"Maritime communications"
"- Europe (ECA) -";"156.5125 - 156.5375 MHz";"Maritime Mobile (distress and calling via DSC)";"DSC"
"- Europe (ECA) -";"156.5375 - 156.5625 MHz";"Maritime Mobile (distress and calling via DSC)/Mobile except aeronautical mobile (R)";"Maritime communications"
"- Europe (ECA) -";"156.5625 - 156.7625 MHz";"Mobile except aeronautical mobile (R)";"Maritime communications"
"- Europe (ECA) -";"156.7625 - 156.7875 MHz";"Maritime Mobile (distress and calling)";"Maritime communications"
"- Europe (ECA) -";"156.7875 - 156.8125 MHz";"Maritime Mobile (distress and calling)";"Maritime communications"
"- Europe (ECA) -";"156.8125 - 156.8375 MHz";"Maritime Mobile";"Maritime communications"
"- Europe (ECA) -";"156.8375 - 161.9375 MHz";"Mobile except aeronautical mobile";"Maritime communications/PMR/PAMR"
"- Europe (ECA) -";"161.9375 - 161.9625 MHz";"Mobile except aeronautical mobile/Maritime Mobile-Satellite (Earth-to-space)";"Maritime communications/PMR/PAMR"
"- Europe (ECA) -";"161.9625 - 161.9875 MHz";"";"Maritime communications/AIS"
"- Europe (ECA) -";"161.9875 - 162.0125 MHz";"Mobile except aeronautical mobile/Maritime Mobile-Satellite (Earth-to-space)";"Maritime communications"
"- Europe (ECA) -";"162.0125 - 162.0375 MHz";"Mobile except aeronautical mobile";"Maritime communications/AIS"
"- Europe (ECA) -";"162.0375 - 169.4000 MHz";"Mobile except aeronautical mobile";"PMR/PAMR"
"- Europe (ECA) -";"169.4000 - 169.8125 MHz";"Mobile except aeronautical mobile";"Aids for hearing impaired/Meter reading/Non-specific SRDs"
"- Europe (ECA) -";"169.8125 - 174.0000 MHz";"Mobile except aeronautical mobile";"Radio microphones and ALD/PMR/PAMR/Aids for hearing impaired"
"- Europe (ECA) -";"174.000 - 223.000 MHz";"Broadcasting/Land Mobile";"PMSE/Radio microphones and ALD/Broadcasting (terrestrial)"
"- Europe (ECA) -";"223.000 - 225.000 MHz";"Broadcasting";"Broadcasting (terrestrial)"
"- Europe (ECA) -";"225.000 - 230.000 MHz";"Broadcasting/Land Mobile";"Broadcasting (terrestrial)/Defence systems"
"- Europe (ECA) -";"230.000 - 235.000 MHz";"Mobile";"Defence systems/T-DAB"
"- Europe (ECA) -";"235.000 - 240.000 MHz";"Mobile";"Defence systems/T-DAB"
"- Europe (ECA) -";"240.000 - 242.950 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"242.950 - 243.050 MHz";"Aeronautical Mobile";"EPIRBs"
"- Europe (ECA) -";"243.050 - 267.000 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"267.000 - 272.000 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"272.000 - 273.000 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"273.000 - 312.000 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"312.000 - 315.000 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"315.000 - 322.000 MHz";"Mobile";"Defence systems"
"- Europe (ECA) -";"322.000 - 328.600 MHz";"Mobile/Radio Astronomy";"Defence systems/Radio astronomy"
"- Europe (ECA) -";"328.600 - 335.400 MHz";"Aeronautical Radionavigation";"ILS"
"- Europe (ECA) -";"380.000 - 385.000 MHz";"Mobile";"Defence systems/PPDR"
"- Europe (ECA) -";"385.000 - 387.000 MHz";"Mobile";"Defence systems/PMR/PAMR"
"- Europe (ECA) -";"387.000 - 390.000 MHz";"Mobile";"Defence systems/PMR/PAMR"
"- Europe (ECA) -";"390.000 - 395.000 MHz";"Mobile";"Defence systems/PPDR"
"- Europe (ECA) -";"395.000 - 399.900 MHz";"Mobile";"Defence systems/PMR/PAMR"
"- Europe (ECA) -";"399.900 - 400.050 MHz";"Mobile-Satellite (Earth-to-space)";"PPDR"
"- Europe (ECA) -";"400.050 - 400.150 MHz";"Standard frequency and time signal-satellite (400.1 MHz)";"PPDR"
"- Europe (ECA) -";"400.150 - 401.000 MHz";"Meteorological Aids/Meteorological-Satellite (space-to-Earth)/Mobile-Satellite (space-to-Earth)/Space Research (space-to-Earth)/Space Operation (space-to-Earth)";"PPDR/Sondes/Weather satellites/S-PCS"
"- Europe (ECA) -";"401.000 - 402.000 MHz";"Earth Exploration-Satellite (Earth-to-space)/Meteorological Aids/Meteorological-Satellite (Earth-to-space)";"Sondes/Weather satellites/Active medical implants"
"- Europe (ECA) -";"402.000 - 403.000 MHz";"Earth Exploration-Satellite (Earth-to-space)/Meteorological Aids/Meteorological-Satellite (Earth-to-space)";"Sondes/Active medical implants/Weather satellites"
"- Europe (ECA) -";"403.000 - 406.000 MHz";"Meteorological Aids";"Sondes/Active medical implants"
"- Europe (ECA) -";"406.000 - 406.100 MHz";"Mobile-Satellite (Earth-to-space)";"EPIRBs"
"- Europe (ECA) -";"406.100 - 410.000 MHz";"Land Mobile/Radio Astronomy";"PMR/PAMR/Radio astronomy/Land military systems/Maritime military systems"
"- Europe (ECA) -";"410.000 - 420.000 MHz";"Mobile except aeronautical mobile";"Land military systems/Maritime military systems/PMR/PAMR"
"- Europe (ECA) -";"420.000 - 430.000 MHz";"Mobile except aeronautical mobile/Radiolocation";"PMR/PAMR/Land military systems/Maritime military systems/Radiolocation (military)"
"- Europe (ECA) -";"430.000 - 432.000 MHz";"Amateur/Radiolocation";"Radiolocation (military)/ULP-WMCE/Amateur"
"- Europe (ECA) -";"432.000 - 433.050 MHz";"Amateur/Radiolocation/Earth Exploration-Satellite (active)";"Active sensors (satellite)/Amateur/ULP-WMCE/Radiolocation (military)"
"- Europe (ECA) -";"433.050 - 434.790 MHz";"Amateur/Radiolocation/Land Mobile/Earth Exploration-Satellite (active)";"Radiolocation (military)/ULP-WMCE/Amateur/ISM/Non-specific SRDs/Active sensors (satellite)"
"- Europe (ECA) -";"434.790 - 438.000 MHz";"Amateur/Amateur-Satellite/Radiolocation/Earth Exploration-Satellite (active)";"Amateur/Amateur-satellite/Active sensors (satellite)/ULP-WMCE/Radiolocation (military)"
"- Europe (ECA) -";"438.000 - 440.000 MHz";"Amateur/Radiolocation";"Radiolocation (military)/ULP-WMCE/Amateur"
"- Europe (ECA) -";"440.000 - 450.000 MHz";"Mobile except aeronautical mobile/Radiolocation";"Wind profilers/On-site paging/PMR 446/PMR/PAMR/Land military systems/Maritime military systems/Radiolocation (military)"
"- Europe (ECA) -";"450.000 - 455.000 MHz";"Mobile";"On-site paging/PMR/PAMR"
"- Europe (ECA) -";"455.000 - 456.000 MHz";"Mobile";"Land mobile/On-site paging/PMR/PAMR"
"- Europe (ECA) -";"456.000 - 459.000 MHz";"Mobile";"Land mobile/On-board communications/PMR/PAMR/On-site paging"
"- Europe (ECA) -";"459.000 - 460.000 MHz";"Mobile";"Land mobile/On-site paging/PMR/PAMR"
"- Europe (ECA) -";"460.000 - 470.000 MHz";"Mobile";"Land mobile/On-board communications/PMR/PAMR/On-site paging/Space research/Meteorological aids (military)"
"- Europe (ECA) -";"470.000 - 694.000 MHz";"Broadcasting";"Radio microphones and ALD/PMSE/Broadcasting (terrestrial)/Wind profilers/Radio astronomy"
"- Europe (ECA) -";"694.000 - 790.000 MHz";"Broadcasting/Mobile except aeronautical mobile";"Radio microphones and ALD/PMSE/Broadcasting (terrestrial)/MFCN/PPDR"
"- Europe (ECA) -";"790.000 - 862.000 MHz";"Mobile except aeronautical mobile/Broadcasting";"MFCN/-/Radio microphones and ALD/Broadcasting (terrestrial)"
"- Europe (ECA) -";"862.000 - 870.000 MHz";"Mobile";"Radio microphones and ALD/Alarms/Non-specific SRDs/RFID/Tracking, tracing and data acquisition/-/Maritime military systems/Land military systems/Wideband data transmission systems"
"- Europe (ECA) -";"870.000 - 876.000 MHz";"Mobile";"-/Land military systems/Maritime military systems/Non-specific SRDs/PMR/PAMR/Tracking, tracing and data acquisition"
"- Europe (ECA) -";"876.000 - 880.000 MHz";"Mobile";"-/Land military systems/Maritime military systems/GSM-R"
"- Europe (ECA) -";"880.000 - 890.000 MHz";"Mobile";"GSM/MCV/IMT"
"- Europe (ECA) -";"890.000 - 915.000 MHz";"Mobile/Radiolocation";"IMT/MCV/GSM/Land military systems/Maritime military systems"
"- Europe (ECA) -";"915.000 - 921.000 MHz";"Mobile/Radiolocation";"Maritime military systems/Land military systems/PMR/PAMR/-/Non-specific SRDs/RFID"
"- Europe (ECA) -";"921.000 - 925.000 MHz";"Mobile/Radiolocation";"GSM-R/Land military systems/Maritime military systems/-"
"- Europe (ECA) -";"925.000 - 942.000 MHz";"Radiolocation/Mobile";"GSM/IMT/MCV/Land military systems/Maritime military systems"
"- Europe (ECA) -";"942.000 - 960.000 MHz";"Mobile";"GSM/IMT/MCV"
"- Europe (ECA) -";"960.000 - 1164.000 MHz";"Aeronautical Radionavigation/Aeronautical Mobile-Satellite (R)/Aeronautical Mobile (R)";"Aeronautical/Aeronautical military systems"
"- Europe (ECA) -";"1164.000 - 1215.000 MHz";"Aeronautical Radionavigation/Radionavigation-Satellite (space-to-Earth) (space-to-space)";"Aeronautical military systems/Satellite systems (military)/GALILEO/Aeronautical navigation/GNSS Repeater/GLONASS"
"- Europe (ECA) -";"1215.000 - 1240.000 MHz";"Earth Exploration-Satellite (active)/Radiolocation/Radionavigation-Satellite (space-to-Earth) (space-to-space)/Space Research (active)";"GLONASS/GNSS Repeater/GPS/Radiolocation (civil)/Active sensors (satellite)/Satellite systems (military)/Radiolocation (military)"
"- Europe (ECA) -";"1240.000 - 1300.000 MHz";"Earth Exploration-Satellite (active)/Radionavigation-Satellite (space-to-Earth) (space-to-space)/Radiolocation/Space Research (active)/Amateur/Amateur-Satellite";"Radiolocation (military)/Satellite systems (military)/Amateur-satellite/GALILEO/Wind profilers/Amateur/GLONASS/Radiolocation (civil)/Active sensors (satellite)/GNSS Repeater"
"- Europe (ECA) -";"1300.000 - 1350.000 MHz";"Aeronautical Radionavigation/Radiolocation/Radionavigation-Satellite (Earth-to-space)";"Satellite navigation systems/Radiolocation (civil)/Radio astronomy/Satellite systems (military)/Radiolocation (military)"
"- Europe (ECA) -";"1350.000 - 1400.000 MHz";"Fixed/Mobile/Radiolocation";"Land military systems/Maritime military systems/Aeronautical military systems/Radiolocation (military)/Radio microphones and ALD/Fixed/Radio astronomy"
"- Europe (ECA) -";"1400.000 - 1427.000 MHz";"Earth Exploration-Satellite (passive)/Radio Astronomy/Space Research (passive)";"Passive sensors (satellite)/Radio astronomy"
"- Europe (ECA) -";"1427.000 - 1429.000 MHz";"Fixed/Mobile except aeronautical mobile/Space Operation (Earth-to-space)";"Fixed/MFCN/Maritime military systems/Land military systems"
"- Europe (ECA) -";"1429.000 - 1452.000 MHz";"Fixed/Mobile except aeronautical mobile";"Land military systems/Maritime military systems/MFCN/Fixed"
"- Europe (ECA) -";"1452.000 - 1492.000 MHz";"Broadcasting/Fixed/Mobile except aeronautical mobile";"T-DAB/MFCN"
"- Europe (ECA) -";"1492.000 - 1518.000 MHz";"Fixed/Mobile except aeronautical mobile";"Fixed/MFCN/Maritime military systems/Land military systems/Radio microphones and ALD"
"- Europe (ECA) -";"1518.000 - 1525.000 MHz";"Fixed/Mobile except aeronautical mobile/Mobile-Satellite (space-to-Earth)";"Maritime military systems/Land military systems/Radio microphones and ALD/MSS Earth stations/Fixed/IMT-2000 satellite component"
"- Europe (ECA) -";"1525.000 - 1530.000 MHz";"Fixed/Mobile-Satellite (space-to-Earth)/Space Operation (space-to-Earth)";"IMT-2000 satellite component/MSS Earth stations/Fixed"
"- Europe (ECA) -";"1530.000 - 1535.000 MHz";"Mobile-Satellite (space-to-Earth)/Space Operation (space-to-Earth)/Earth Exploration-Satellite/Fixed/Mobile except aeronautical mobile (R)";"IMT-2000 satellite component/MSS Earth stations"
"- Europe (ECA) -";"1535.000 - 1559.000 MHz";"Mobile-Satellite (space-to-Earth)";"MSS Earth stations/IMT-2000 satellite component"
"- Europe (ECA) -";"1559.000 - 1610.000 MHz";"Aeronautical Radionavigation/Radionavigation-Satellite (space-to-Earth)/Radionavigation-Satellite (space-to-space)";"GNSS Pseudolites/GNSS Repeater/GALILEO/GLONASS/GPS"
"- Europe (ECA) -";"1610.000 - 1610.600 MHz";"Aeronautical Radionavigation/Mobile-Satellite (Earth-to-space)";"MSS Earth stations/IMT-2000 satellite component/GLONASS"
"- Europe (ECA) -";"1610.600 - 1613.800 MHz";"Aeronautical Radionavigation/Mobile-Satellite (Earth-to-space)/Radio Astronomy";"IMT-2000 satellite component/MSS Earth stations/Radio astronomy"
"- Europe (ECA) -";"1613.800 - 1626.500 MHz";"Aeronautical Radionavigation/Mobile-Satellite (Earth-to-space)/Mobile-Satellite (space-to-Earth)";"MSS Earth stations/IMT-2000 satellite component"
"- Europe (ECA) -";"1626.500 - 1660.000 MHz";"Mobile-Satellite (Earth-to-space)";"IMT-2000 satellite component/MSS Earth stations"
"- Europe (ECA) -";"1660.000 - 1660.500 MHz";"Mobile-Satellite (Earth-to-space)/Radio Astronomy";"MSS Earth stations/Radio astronomy/IMT-2000 satellite component"
"- Europe (ECA) -";"1660.500 - 1668.000 MHz";"Radio Astronomy/Space Research (passive)/Fixed/Mobile except aeronautical mobile";"Radio astronomy"
"- Europe (ECA) -";"1668.000 - 1668.400 MHz";"Mobile-Satellite (Earth-to-space)/Radio Astronomy/Space Research (passive)/Fixed/Mobile except aeronautical mobile";"Radio astronomy/IMT-2000 satellite component"
"- Europe (ECA) -";"1668.400 - 1670.000 MHz";"Fixed/Meteorological Aids/Mobile except aeronautical mobile/Mobile-Satellite (Earth-to-space)/Radio Astronomy";"IMT-2000 satellite component/Meteorology/Radio astronomy"
"- Europe (ECA) -";"1670.000 - 1675.000 MHz";"Meteorological Aids/Meteorological-Satellite (space-to-Earth)/Mobile/Mobile-Satellite (Earth-to-space)/Fixed";"Weather satellites/MSS Earth stations/IMT-2000 satellite component/Meteorology"
"- Europe (ECA) -";"1675.000 - 1690.000 MHz";"Fixed/Meteorological Aids/Meteorological-Satellite (space-to-Earth)/Mobile except aeronautical mobile";"Land military systems/Maritime military systems/Meteorological aids (military)/Sondes/Weather satellites"
"- Europe (ECA) -";"1690.000 - 1700.000 MHz";"Meteorological Aids/Meteorological-Satellite (space-to-Earth)/Fixed/Mobile except aeronautical mobile";"Weather satellites/Land military systems/Meteorological aids (military)/Maritime military systems"
"- Europe (ECA) -";"1700.000 - 1710.000 MHz";"Fixed/Meteorological-Satellite (space-to-Earth)/Mobile except aeronautical mobile";"Land military systems/Maritime military systems/Meteorological aids (military)/Weather satellites"
"- Europe (ECA) -";"1710.000 - 1785.000 MHz";"Fixed/Mobile";"GSM/Radio astronomy/IMT/MCV/MCA"
"- Europe (ECA) -";"1785.000 - 1800.000 MHz";"Fixed/Mobile";"-/Land mobile/Radio microphones and ALD/Land military systems"
"- Europe (ECA) -";"1800.000 - 1805.000 MHz";"Mobile/Fixed";"Land military systems/Radio microphones and ALD/-"
"- Europe (ECA) -";"1805.000 - 1880.000 MHz";"Fixed/Mobile";"MCA/MCV/IMT/GSM"
"- Europe (ECA) -";"1880.000 - 1885.000 MHz";"Mobile/Fixed";"DECT"
"- Europe (ECA) -";"1885.000 - 1900.000 MHz";"Mobile/Fixed";"DECT"
"- Europe (ECA) -";"1900.000 - 1930.000 MHz";"Mobile/Fixed";"MCA/-/MFCN/MCV/DA2GC"
"- Europe (ECA) -";"1930.000 - 1970.000 MHz";"Fixed/Mobile";"MFCN/MCV/-/MCA"
"- Europe (ECA) -";"1970.000 - 1980.000 MHz";"Mobile/Fixed";"MCA/-/MFCN/MCV"
"- Europe (ECA) -";"1980.000 - 2010.000 MHz";"Mobile/Mobile-Satellite (Earth-to-space)";"-/MSS Earth stations"
"- Europe (ECA) -";"2010.000 - 2025.000 MHz";"Mobile/Fixed";"IMT/-/PMSE"
"- Europe (ECA) -";"2025.000 - 2110.000 MHz";"Earth Exploration-Satellite (Earth-to-space) (space-to-space)/Fixed/Mobile/Space Operation (Earth-to-space) (space-to-space)/Space Research (Earth-to-space) (space-to-space)";"Land military systems/Telemetry/Telecommand (military)/Aeronautical military systems/Maritime military systems/Fixed/PMSE/Space research"
"- Europe (ECA) -";"2110.000 - 2120.000 MHz";"Mobile/Space Research (deep space) (Earth-to-space)/Fixed";"-/MCA/MFCN/MCV"
"- Europe (ECA) -";"2120.000 - 2170.000 MHz";"Mobile/Fixed";"MFCN/MCV/MCA/-"
"- Europe (ECA) -";"2170.000 - 2200.000 MHz";"Mobile/Mobile-Satellite (space-to-Earth)";"-/MSS Earth stations"
"- Europe (ECA) -";"2200.000 - 2290.000 MHz";"Fixed/Mobile/Space Operation (space-to-Earth) (space-to-space)/Space Research (space-to-Earth) (space-to-space)/Earth Exploration-Satellite (space-to-Earth) (space-to-space)";"Fixed/Radio astronomy/Space research/PMSE/Land military systems/Telemetry/Telecommand (military)/Aeronautical military systems/Maritime military systems"
"- Europe (ECA) -";"2290.000 - 2300.000 MHz";"Fixed/Mobile except aeronautical mobile/Space Research (deep space) (space-to-Earth)";"PMSE/Land mobile/Space research"
"- Europe (ECA) -";"2300.000 - 2400.000 MHz";"Fixed/Mobile/Amateur/Radiolocation";"Aeronautical telemetry/Amateur/PMSE/MFCN/Land military systems/Telemetry/Telecommand (military)/Aeronautical military systems/Maritime military systems"
"- Europe (ECA) -";"2400.000 - 2450.000 MHz";"Fixed/Mobile/Amateur-Satellite/Radiolocation/Amateur";"PMSE/Radiodetermination applications/Amateur/Amateur-satellite/ISM/Non-specific SRDs/Wideband data transmission systems/RFID"
"- Europe (ECA) -";"2450.000 - 2483.500 MHz";"Fixed/Mobile";"ISM/Non-specific SRDs/Wideband data transmission systems/RFID/Radiodetermination applications/PMSE"
"- Europe (ECA) -";"2483.500 - 2500.000 MHz";"Fixed/Mobile/Mobile-Satellite (space-to-Earth)";"PMSE/MBANS/Active medical implants/ISM/Land mobile/MSS Earth stations/IMT-2000 satellite component"
"- Europe (ECA) -";"2500.000 - 2520.000 MHz";"Mobile except aeronautical mobile/Fixed";"MCV/MFCN"
"- Europe (ECA) -";"2520.000 - 2655.000 MHz";"Fixed/Mobile except aeronautical mobile";"MFCN/MCV"
"- Europe (ECA) -";"2655.000 - 2670.000 MHz";"Fixed/Mobile except aeronautical mobile/Earth Exploration-Satellite (passive)/Radio Astronomy/Space Research (passive)";"MCV/MFCN/Radio astronomy"
"- Europe (ECA) -";"2670.000 - 2690.000 MHz";"Mobile except aeronautical mobile/Fixed/Radio Astronomy";"Radio astronomy/MFCN/MCV"
"- Europe (ECA) -";"2690.000 - 2700.000 MHz";"Earth Exploration-Satellite (passive)/Radio Astronomy/Space Research (passive)";"Passive sensors (satellite)/Radio astronomy"
"- Europe (ECA) -";"2700.000 - 2900.000 MHz";"Aeronautical Radionavigation/Radiolocation";"Radiolocation (civil)/Aeronautical navigation/Weather radar/Radiolocation (military)/PMSE"
"- Europe (ECA) -";"2900.000 - 3100.000 MHz";"Radiolocation/Radionavigation";"Radiolocation (military)/Radiolocation (civil)"
"- Europe (ECA) -";"3100.000 - 3300.000 MHz";"Radiolocation/Earth Exploration-Satellite (active)/Space Research (active)";"Radiolocation (civil)/Active sensors (satellite)/Radiolocation (military)/UWB applications/Radio astronomy"
"- Europe (ECA) -";"3300.000 - 3400.000 MHz";"Radiolocation";"Radio astronomy/Radiolocation (military)/Radiolocation (civil)/UWB applications"
"- Europe (ECA) -";"3400.000 - 3600.000 MHz";"Fixed/Fixed-Satellite (space-to-Earth)/Amateur/Radiolocation/Mobile except aeronautical mobile";"Amateur/FSS Earth stations/MFCN/PMSE/Radiolocation (civil)/Radiolocation (military)/UWB applications/BWA"
"- Europe (ECA) -";"3600.000 - 4200.000 MHz";"Mobile/Fixed/Fixed-Satellite (space-to-Earth)";"-/BWA/FSS Earth stations/Fixed/UWB applications/MFCN/ESV"
"- Europe (ECA) -";"4200.000 - 4400.000 MHz";"Aeronautical Radionavigation/Aeronautical Mobile (R)";"WAIC/Aeronautical military systems/UWB applications/Altimeters/Passive sensors (satellite)"
"- Europe (ECA) -";"4400.000 - 4500.000 MHz";"Fixed/Mobile";"PMSE/UWB applications/Aeronautical military systems/Land military systems/Maritime military systems/Telemetry/Telecommand (military)"
"- Europe (ECA) -";"4500.000 - 4800.000 MHz";"Fixed/Fixed-Satellite (space-to-Earth)/Mobile";"Land military systems/Maritime military systems/Telemetry/Telecommand (military)/Aeronautical military systems/UWB applications/Radiodetermination applications/FSS Earth stations/PMSE"
"- Europe (ECA) -";"4800.000 - 4990.000 MHz";"Fixed/Radio Astronomy/Mobile";"PMSE/Passive sensors (satellite)/Radio astronomy/Radiodetermination applications/BBDR/Aeronautical military systems/Land military systems/Telemetry/Telecommand (military)/Maritime military systems"
"- Europe (ECA) -";"4990.000 - 5000.000 MHz";"Fixed/Mobile except aeronautical mobile/Radio Astronomy";"Telemetry/Telecommand (military)/Land military systems/Maritime military systems/Aeronautical military systems/Radiodetermination applications/PMSE/Radio astronomy"
"- Europe (ECA) -";"5000.000 - 5010.000 MHz";"Aeronautical Radionavigation/Radionavigation-Satellite (Earth-to-space)/Radio Astronomy/Space Research (passive)/Aeronautical Mobile-Satellite (R)";"Radio astronomy/Satellite navigation systems/GALILEO/Radiodetermination applications"
"- Europe (ECA) -";"5010.000 - 5030.000 MHz";"Aeronautical Mobile-Satellite (R)/Aeronautical Radionavigation/Radionavigation-Satellite (space-to-Earth) (space-to-space)/Radio Astronomy/Space Research (passive)";"Radiodetermination applications/GALILEO/Radio astronomy/Satellite navigation systems"
"- Europe (ECA) -";"5030.000 - 5091.000 MHz";"Aeronautical Radionavigation/Aeronautical Mobile-Satellite (R)/Aeronautical Mobile (R)";"MLS/Radiodetermination applications"
"- Europe (ECA) -";"5091.000 - 5150.000 MHz";"Aeronautical Mobile-Satellite (R)/Aeronautical Radionavigation/Fixed-Satellite (Earth-to-space)/Aeronautical Mobile";"Radiodetermination applications/-"
"- Europe (ECA) -";"5150.000 - 5250.000 MHz";"Aeronautical Radionavigation/Fixed-Satellite (Earth-to-space)/Mobile except aeronautical mobile";"Radiodetermination applications/BBDR/Aeronautical telemetry/Feeder links/Radio LANs"
"- Europe (ECA) -";"5250.000 - 5255.000 MHz";"Earth Exploration-Satellite (active)/Mobile except aeronautical mobile/Radiolocation/Space Research";"Active sensors (satellite)/Radiodetermination applications/Maritime radar/Weather radar/Radio LANs/-/Radiolocation (military)"
"- Europe (ECA) -";"5255.000 - 5350.000 MHz";"Earth Exploration-Satellite (active)/Mobile except aeronautical mobile/Radiolocation/Space Research (active)";"Radiolocation (military)/-/Radiodetermination applications/Radio LANs/Active sensors (satellite)/Maritime radar/Weather radar"
"- Europe (ECA) -";"5350.000 - 5460.000 MHz";"Aeronautical Radionavigation/Earth Exploration-Satellite (active)/Radiolocation/Space Research (active)";"Active sensors (satellite)/Maritime radar/Weather radar/Radiodetermination applications/-/Radiolocation (military)"
"- Europe (ECA) -";"5460.000 - 5470.000 MHz";"Earth Exploration-Satellite (active)/Radiolocation/Radionavigation/Space Research (active)";"Radiolocation (military)/-/Radiodetermination applications/Active sensors (satellite)/Maritime radar/Weather radar"
"- Europe (ECA) -";"5470.000 - 5570.000 MHz";"Earth Exploration-Satellite (active)/Maritime Radionavigation/Mobile except aeronautical mobile/Radiolocation/Space Research (active)";"Active sensors (satellite)/-/Maritime radar/Weather radar/Radio LANs/Radiodetermination applications/Radiolocation (military)"
"- Europe (ECA) -";"5570.000 - 5650.000 MHz";"Maritime Radionavigation/Mobile except aeronautical mobile/Radiolocation";"Radiolocation (military)/Radiodetermination applications/-/Maritime radar/Radio LANs/Weather radar"
"- Europe (ECA) -";"5650.000 - 5725.000 MHz";"Mobile except aeronautical mobile/Radiolocation/Amateur/Amateur-Satellite (Earth-to-space)";"Amateur/-/Maritime radar/Weather radar/Radio LANs/Radiodetermination applications/Radiolocation (military)/Amateur-satellite"
"- Europe (ECA) -";"5725.000 - 5830.000 MHz";"Radiolocation/Amateur/Mobile/Fixed-Satellite (Earth-to-space)/Fixed";"WIA/Radiolocation (military)/Radiodetermination applications/BFWA/Amateur/ISM/Non-specific SRDs/TTT/Weather radar"
"- Europe (ECA) -";"5830.000 - 5850.000 MHz";"Fixed/Fixed-Satellite (Earth-to-space)/Radiolocation/Amateur/Amateur-Satellite (space-to-Earth)/Mobile";"ISM/Non-specific SRDs/Weather radar/Radiodetermination applications/Amateur-satellite/Radiolocation (military)/WIA/Amateur/BFWA"
"- Europe (ECA) -";"5850.000 - 5925.000 MHz";"Fixed/Mobile/Fixed-Satellite (Earth-to-space)";"MBR/WIA/DA2GC/Radiodetermination applications/BFWA/ITS/FSS Earth stations/ISM/Non-specific SRDs"
"- Europe (ECA) -";"5925.000 - 6700.000 MHz";"Fixed/Fixed-Satellite (Earth-to-space)/Earth Exploration-Satellite (passive)";"Passive sensors (satellite)/Fixed/FSS Earth stations/Radiodetermination applications/UWB applications/-/ESV/Radio astronomy"
"- Europe (ECA) -";"6700.000 - 7075.000 MHz";"Fixed/Earth Exploration-Satellite (passive)/Fixed-Satellite (Earth-to-space) (space-to-Earth)";"PMSE/Radiodetermination applications/UWB applications/Passive sensors (satellite)/Feeder links/Fixed/FSS Earth stations"
"- Europe (ECA) -";"7075.000 - 7145.000 MHz";"Fixed/Earth Exploration-Satellite (passive)";"Passive sensors (satellite)/Fixed/UWB applications/Radiodetermination applications/PMSE"
"- Europe (ECA) -";"7145.000 - 7190.000 MHz";"Fixed/Mobile/Space Research (deep space) (Earth-to-space)/Space Operation (Earth-to-space)";"PMSE/Fixed/UWB applications/Radiodetermination applications"
"- Europe (ECA) -";"7190.000 - 7235.000 MHz";"Earth Exploration-Satellite (Earth-to-space)/Fixed/Space Research (Earth-to-space)/Mobile";"Fixed/Passive sensors (satellite)/UWB applications/Radiodetermination applications/PMSE"
"- Europe (ECA) -";"7235.000 - 7250.000 MHz";"Fixed/Earth Exploration-Satellite (Earth-to-space)/Space Research (Earth-to-space)";"PMSE/UWB applications/Radiodetermination applications/Passive sensors (satellite)/Fixed"
"- Europe (ECA) -";"7250.000 - 7300.000 MHz";"Fixed/Fixed-Satellite (space-to-Earth)/Mobile";"Fixed/MSS Earth stations/Radiodetermination applications/UWB applications/PMSE/Satellite systems (military)/Land military systems"
"- Europe (ECA) -";"7300.000 - 7375.000 MHz";"Fixed/Fixed-Satellite (space-to-Earth)/Mobile except aeronautical mobile";"Land military systems/Fixed/MSS Earth stations/UWB applications/Radiodetermination applications/Satellite systems (military)/PMSE"
"- Europe (ECA) -";"7375.000 - 7450.000 MHz";"Fixed/Fixed-Satellite (space-to-Earth)/Mobile except aeronautical mobile/Maritime Mobile-Satellite (space-to-Earth)";"PMSE/Satellite systems (military)/Land military systems/Fixed/MSS Earth stations/UWB applications/Radiodetermination applications"
"- Europe (ECA) -";"7450.000 - 7550.000 MHz";"Maritime Mobile-Satellite (space-to-Earth)/Fixed/Fixed-Satellite (space-to-Earth)/Meteorological-Satellite (space-to-Earth)/Mobile except aeronautical mobile";"PMSE/Satellite systems (military)/Land military systems/UWB applications/Radiodetermination applications/Fixed/Weather satellites"
"- Europe (ECA) -";"7550.000 - 7750.000 MHz";"Fixed/Fixed-Satellite (space-to-Earth)/Mobile except aeronautical mobile/Maritime Mobile-Satellite (space-to-Earth)";"Fixed/Radiodetermination applications/UWB applications/Land military systems/Satellite systems (military)/PMSE"
"- Europe (ECA) -";"7750.000 - 7900.000 MHz";"Fixed/Meteorological-Satellite (space-to-Earth)/Mobile except aeronautical mobile";"PMSE/UWB applications/Radiodetermination applications/Fixed/Weather satellites"
